Designator,Mid X,Mid Y,Rotation,Layer
C1,63.1375,-83.6,0.0,bottom
C10,67.5,-71.4,180.0,bottom
C2,58.4,-71.4,180.0,bottom
C3,37.4,-80.0,90.0,bottom
C4,59.6875,-83.6,180.0,bottom
C5,45.2,-81.35,0.0,bottom
C6,54.2,-80.3,180.0,bottom
C7,63.1375,-71.4,180.0,bottom
C8,37.4,-74.9125,270.0,bottom
C9,68.7,-75.2625,270.0,bottom
J1,34.8,-74.975,0.0,bottom
J2,70.5,-70.1,0.0,bottom
J3,77.775,-77.5,270.0,bottom
R1,45.2,-79.1,180.0,bottom
R2,41.85,-83.0,180.0,bottom
R3,38.35,-83.0,0.0,bottom
U1,41.0,-80.0,0.0,bottom
U2,61.6,-77.5,90.0,bottom
U3,42.65,-73.95,180.0,bottom
U4,54.2,-74.1375,90.0,bottom
U5,36.2,-71.615,0.0,top
Y1,54.2,-82.8,0.0,bottom
